user_id,register_date,channel,city_level
1,2025-01-17,自然流量,三线及以下
2,2025-05-21,短视频投放,二线
3,2025-04-29,自然流量,新一线
4,2025-03-21,自然流量,三线及以下
5,2025-03-20,达人推荐,一线
6,2025-06-05,短视频投放,三线及以下
7,2025-01-16,站内活动,二线
8,2025-05-07,自然流量,一线
9,2025-02-06,达人推荐,一线
10,2025-01-18,短视频投放,三线及以下
11,2025-04-06,达人推荐,新一线
12,2025-06-26,短视频投放,三线及以下
13,2025-05-14,短视频投放,三线及以下
14,2025-05-18,站内活动,二线
15,2025-05-10,自然流量,新一线
16,2025-05-23,自然流量,三线及以下
17,2025-04-03,达人推荐,三线及以下
18,2025-01-24,站内活动,一线
19,2025-06-01,自然流量,新一线
20,2025-03-23,短视频投放,新一线
21,2025-04-01,站内活动,新一线
22,2025-03-09,达人推荐,三线及以下
23,2025-02-03,站内活动,二线
24,2025-06-17,短视频投放,二线
25,2025-05-22,达人推荐,新一线
26,2025-04-27,自然流量,一线
27,2025-03-14,站内活动,新一线
28,2025-05-29,短视频投放,三线及以下
29,2025-04-09,达人推荐,二线
30,2025-03-22,短视频投放,新一线
31,2025-03-23,短视频投放,三线及以下
32,2025-02-11,达人推荐,一线
33,2025-01-17,短视频投放,新一线
34,2025-04-11,站内活动,新一线
35,2025-06-10,短视频投放,三线及以下
36,2025-01-12,达人推荐,三线及以下
37,2025-06-05,自然流量,二线
38,2025-05-30,短视频投放,一线
39,2025-02-20,短视频投放,新一线
40,2025-04-25,自然流量,二线
41,2025-01-30,自然流量,新一线
42,2025-05-18,达人推荐,三线及以下
43,2025-05-07,达人推荐,三线及以下
44,2025-03-06,达人推荐,二线
45,2025-01-13,自然流量,三线及以下
46,2025-06-25,自然流量,三线及以下
47,2025-03-22,自然流量,二线
48,2025-06-11,达人推荐,二线
49,2025-05-03,站内活动,三线及以下
50,2025-05-21,自然流量,新一线
51,2025-05-18,达人推荐,三线及以下
52,2025-02-05,自然流量,一线
53,2025-03-07,自然流量,二线
54,2025-03-26,自然流量,三线及以下
55,2025-04-01,自然流量,二线
56,2025-01-08,达人推荐,二线
57,2025-04-09,站内活动,二线
58,2025-01-28,自然流量,新一线
59,2025-05-15,短视频投放,新一线
60,2025-05-04,达人推荐,新一线
61,2025-06-16,站内活动,二线
62,2025-05-15,达人推荐,二线
63,2025-03-08,自然流量,新一线
64,2025-06-25,达人推荐,三线及以下
65,2025-03-16,自然流量,新一线
66,2025-02-28,站内活动,二线
67,2025-06-13,短视频投放,二线
68,2025-03-09,达人推荐,新一线
69,2025-01-14,自然流量,三线及以下
70,2025-03-26,短视频投放,二线
71,2025-05-25,站内活动,一线
72,2025-02-04,达人推荐,三线及以下
73,2025-03-25,短视频投放,三线及以下
74,2025-01-24,站内活动,三线及以下
75,2025-05-05,站内活动,三线及以下
76,2025-03-28,自然流量,三线及以下
77,2025-03-01,短视频投放,新一线
78,2025-02-11,短视频投放,二线
79,2025-04-13,达人推荐,二线
80,2025-05-02,自然流量,新一线
81,2025-06-20,自然流量,新一线
82,2025-03-21,站内活动,一线
83,2025-01-30,站内活动,二线
84,2025-05-31,站内活动,三线及以下
85,2025-04-24,站内活动,三线及以下
86,2025-05-07,达人推荐,新一线
87,2025-01-18,达人推荐,新一线
88,2025-02-26,达人推荐,二线
89,2025-05-19,短视频投放,二线
90,2025-05-31,短视频投放,三线及以下
91,2025-03-20,自然流量,三线及以下
92,2025-05-26,达人推荐,三线及以下
93,2025-06-02,自然流量,三线及以下
94,2025-03-12,自然流量,三线及以下
95,2025-06-12,短视频投放,二线
96,2025-02-22,短视频投放,一线
97,2025-02-13,自然流量,一线
98,2025-05-04,站内活动,新一线
99,2025-04-26,站内活动,新一线
100,2025-01-26,自然流量,新一线
101,2025-05-31,自然流量,三线及以下
102,2025-02-06,自然流量,新一线
103,2025-05-26,达人推荐,三线及以下
104,2025-01-02,站内活动,三线及以下
105,2025-05-25,自然流量,二线
106,2025-05-23,达人推荐,二线
107,2025-05-22,自然流量,新一线
108,2025-05-01,短视频投放,二线
109,2025-03-27,站内活动,新一线
110,2025-05-08,自然流量,三线及以下
111,2025-02-20,自然流量,新一线
112,2025-05-22,短视频投放,新一线
113,2025-04-11,达人推荐,三线及以下
114,2025-03-25,站内活动,二线
115,2025-04-02,站内活动,二线
116,2025-04-13,自然流量,二线
117,2025-01-07,自然流量,新一线
118,2025-01-26,达人推荐,二线
119,2025-02-14,自然流量,新一线
120,2025-01-21,站内活动,新一线
121,2025-03-21,达人推荐,新一线
122,2025-05-01,自然流量,新一线
123,2025-04-29,站内活动,新一线
124,2025-03-27,自然流量,二线
125,2025-06-04,短视频投放,新一线
126,2025-04-13,短视频投放,新一线
127,2025-01-15,短视频投放,二线
128,2025-05-19,达人推荐,一线
129,2025-04-15,达人推荐,二线
130,2025-04-25,站内活动,三线及以下
131,2025-04-13,站内活动,二线
132,2025-04-11,短视频投放,三线及以下
133,2025-01-17,自然流量,一线
134,2025-04-12,达人推荐,一线
135,2025-05-24,站内活动,三线及以下
136,2025-02-25,自然流量,三线及以下
137,2025-04-20,短视频投放,三线及以下
138,2025-01-06,短视频投放,一线
139,2025-03-04,自然流量,三线及以下
140,2025-03-21,达人推荐,新一线
141,2025-06-27,短视频投放,新一线
142,2025-02-08,达人推荐,新一线
143,2025-02-20,站内活动,三线及以下
144,2025-03-15,站内活动,一线
145,2025-06-29,短视频投放,三线及以下
146,2025-06-04,自然流量,二线
147,2025-01-07,达人推荐,三线及以下
148,2025-02-12,站内活动,三线及以下
149,2025-05-29,短视频投放,三线及以下
150,2025-01-11,站内活动,新一线
151,2025-06-04,自然流量,一线
152,2025-02-20,站内活动,二线
153,2025-06-16,自然流量,新一线
154,2025-02-23,自然流量,一线
155,2025-03-20,短视频投放,新一线
156,2025-04-30,自然流量,新一线
157,2025-01-23,自然流量,一线
158,2025-04-11,自然流量,一线
159,2025-04-02,短视频投放,三线及以下
160,2025-05-22,达人推荐,新一线
161,2025-06-30,自然流量,三线及以下
162,2025-05-01,达人推荐,三线及以下
163,2025-03-16,站内活动,一线
164,2025-03-15,自然流量,三线及以下
165,2025-03-17,自然流量,二线
166,2025-05-28,站内活动,二线
167,2025-02-28,站内活动,一线
168,2025-01-31,短视频投放,新一线
169,2025-03-02,站内活动,一线
170,2025-01-05,自然流量,二线
171,2025-01-20,短视频投放,三线及以下
172,2025-01-17,达人推荐,二线
173,2025-05-20,自然流量,三线及以下
174,2025-05-11,达人推荐,三线及以下
175,2025-05-07,短视频投放,二线
176,2025-03-25,达人推荐,一线
177,2025-05-10,短视频投放,三线及以下
